Organization Name,Date you began work,Type,Status,City,Major,College,Degree,Major2,Date work ends,State,Zip+4,New Job Title
NYC Department of Education (DOE),1/29/2020,Network Administration,Working,NA,Computer Science,Brooklyn College,BS,Computer Science ,,,,IPDVS Intern
NYC Department of Education (DOE),9/25/2019,Client Service/Tech Support,Working,Brooklyn,Computer Science,Brooklyn College,BS,Computer Science ,,New York,11209,Tech Support Intern
NYC Department of Education (DOE),10/21/2019,Client Service/Tech Support,Working,Bronx,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10453,Tech Support Intern
NYC Department of Education (DOE),12/17/2019,Client Service/Tech Support,Employed,Brooklyn,Computer Information Systems/Science,Baruch College,BBA,Computer Information Sys ,,New York,11232,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11214,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Queens,Computer Science,Queens College,BA,Computer Science ,,New York,11355,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,John Jay College of Criminal Justice,BS,Computer Sci and Info Sec ,,New York,11229,Tech Support Intern
NYC Department of Health and Mental Hygiene (DOH),7/1/2019,Public Health,Working,Bronx,"Psychology, Public Health",CUNY Graduate School of Public Health and Health Policy,MPH,Public Health,,New York,10465,Viral Hepatitis Intern
NYC Administration for Children's Services (ACS),1/7/2019,,Working,Bronx,Liberal Studies,Hostos Community College,AAS,Electrical Eng Tech ,,New York,10463,
NYC Department of Education (DOE),12/2/2019,Client Service/Tech Support,Working,Brooklyn,"Computer Information Systems/Science, Computer Systems Technology, Visual & Performing Arts",New York City College of Technology,BTECH,Computer Systems ,,New York,11212,DOE Tech Intern
NYC Department of Education (DOE),1/6/2020,Client Service/Tech Support,Employed,Brooklyn,Computer Engineering Technology,New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,11214,Tech Support Intern
NYC Human Resources Administration (HRA),12/3/2018,Application Development,Working,Other New York,Computer Science,College of Staten Island,MS,Computer Science,,New York,11554,App and Database Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Queens,Computer Science,Hunter College,BA,Computer Science ,,New York,11432,Tech Support Intern
NYC Department of Education (DOE),12/2/2019,Database Admin,Working,Queens,Management,City College,BA,Managmnt & Admin ,,New York,11373,Website/Data Analyst Intern
NYC Department of Education (DOE),11/2/2015,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11208,Field Technician Intern
CUNY 311 Project,6/18/2018,Customer Service,Working,Brooklyn,Chemistry,Brooklyn College,BS,Chemistry ,,New York,11203,Student Call Taker
CUNY 311 Project,8/5/2019,Customer Service,Working,Bronx,Management,Baruch College,BBA,Management ,,New York,10453,Student Call Taker
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Queens,Computer Science,York College,BS,Computer Science ,,New York,11418,Tech Support Intern
NYC Department of Education (DOE),3/9/2020,Client Service/Tech Support,Working,NA,Computer Information Systems/Science,Baruch College,BBA,Computer Information Sys ,,,,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,NA,Computer Information Systems/Science,Lehman College,,,,,,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Manhattan,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,10029,Tech Support Intern
Civil Service Pathways Fellowship ,1/22/2019,Data/Digital Services,Working,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11374,DOC - Information Technology and Data Analytics
CUNY 311 Project,7/8/2019,Customer Service,Working,Brooklyn,Communications,New York City College of Technology,BS,Earth and Environmental Sci ,,New York,11203,Student Call Taker
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11236,Tech Support Intern
NYC Department of Education (DOE),9/30/2019,Client Service/Tech Support,Working,Staten Island,Computer Science,College of Staten Island,BS,Computer Science ,,New York,10301,Field Technician Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,NA,Computer Information Systems/Science,Bronx Community College,BS,Computer Information Sys ,,,,Tech Support Intern
Civil Service Pathways Fellowship ,1/22/2019,Policy/Program Analysis,Working,Bronx,"Management, Psychology",City College,MA,Youth Studies ,,New York,10452,DOT - Transportation Planning and Management/Public Space Unit
NYC Department of Education (DOE),10/22/2019,Client Service/Tech Support,Working,Queens,Computer Science,John Jay College of Criminal Justice,BS,Computer Sci and Info Sec ,,New York,11355,Assistive Technology Intern
NYC Department of Transportation (DOT),7/22/2019,Policy/Program Analysis,Working,Queens,Geology/Earth Science,Queens College,BS,MHC Environmental Sciences ,,New York,11432,"DOT - Transportation Planning and Management, Street Ambassadors"
NYC Department of City Planning (DCP),7/9/2019,Software Development,Working,Brooklyn,Computer Systems Technology,Brooklyn College,BS,Information Systems ,,New York,11204,Front end web developer
NYC Department of Education (DOE),10/10/2019,Client Service/Tech Support,Working,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11427,Tech Support Intern
NYC Department of Education (DOE),7/8/2019,Client Service/Tech Support,Working,Queens,"Computer Information Systems/Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,11419,Tech Support Intern
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Bronx,Computer Information Systems/Science,New York City College of Technology,AAS,Computer Info Systems ,,New York,10467,Tech Support Intern
NYC Department of Correction (DOC),7/22/2019,Finance/Procurement ,Working,Manhattan,Finance,Baruch College,BBA,Finance ,,New York,10030,DOC - Central Office of Procurement
NYC Department of Education (DOE),9/5/2017,Network Administration,Working,Queens,Computer Information Systems/Science,John Jay College of Criminal Justice,BS,Computer Sci and Info Sec ,,New York,11435-4210, Networking/Infrastructure/Security
NYC Taxi and Limousine Commission (TLC),7/2/2018,Client Service/Tech Support,Working,Queens,Civil,Brooklyn College,BA,Economics ,,New York,11412,TLC Admin
NYC Department of Education (DOE),3/11/2019,Data/Digital Services,Working,Manhattan,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11205,Digital Communications Intern
Civil Service Pathways Fellowship ,7/22/2019,Finance/Procurement ,Working,Brooklyn,"Finance, Economics",City College,BA,Economics ,,New York,11208,DEP - First Deputy Commissioner - Budget
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,"Computer Information Systems/Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,11234,Tech Support Intern
NYC Department of City Planning (DCP),9/16/2019,Data Analytics,Working,Manhattan,Geography,Lehman College,MS,Geographic Information Sci,,New York,10032,Data Analyst Intern
NYC DoITT,11/4/2019,Administrative,Working,Brooklyn,Psychology,City College,BA,Psychology ,,New York,11235,Administrative Associate Intern
NYC Human Resources Administration (HRA),11/10/2018,Software Development,Working,Brooklyn,"Management, Communications, Operations Research",Medgar Evers College,BS,Business ,,New York,11203,Enterprise Software Support
NYC Department of Education (DOE),7/8/2019,Client Service/Tech Support,Working,Other New York,Computer Systems Technology,New York City College of Technology,BS,CUNY Baccalaureate ,,New York,11801,Tech Support Intern
NYC Department of Education (DOE),2/27/2020,Client Service/Tech Support,Working,Bronx,Computer Engineering Technology,New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,10454,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Bronx,Computer Information Systems/Science,Lehman College,BS,Computer Information Sys ,,New York,10463,Tech Support Intern
CUNY 311 Project,8/5/2019,Customer Service,Working,Bronx,Spanish,Hunter College,BA,Spanish ,,New York,10472-3725,Student Call Taker
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Staten Island,Computer Science,Hunter College,BA,Computer Science ,,New York,10306,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Queens,Computer Science,City College,BS,Computer Science ,,New York,11101,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Queens,"Computer Information Systems/Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,,11372,Tech Support Intern
CUNY 311 Project,1/6/2020,Customer Service,Working,Bronx,Psychology,City College,BA,Psychology ,,New York,10467,Student Call Taker
NYC Department of Correction (DOC),8/21/2018,Client Service/Tech Support,Working,NA,Computer Information Systems/Science,John Jay College of Criminal Justice,,Non Degree Undergraduate,,,,IT Helpdesk
NYC Department of Education (DOE),10/10/2019,Client Service/Tech Support,Working,Bronx,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,10465,Tech Support Intern
NYC Human Resources Administration (HRA),5/30/2019,Software Development,Working,Bronx,Computer Science,John Jay College of Criminal Justice,BS,Computer Sci and Info Sec ,,New York,10463,Server Hardware and Virtualization infrastructure
NYC Human Resources Administration (HRA),2/4/2019,Database Admin,Working,Queens,Computer Science,Queens College,BS,Computer Science ,,New York,11354,IT Asset Management Analyst
NYC DoITT,7/15/2019,Network Administration,Working,Other New York,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11580-1125,Network Engineering
