Organization Name,RFCUNY Account #,Date you began work,Date work ends,Date range2,Date range,City,State,Zip+4,Status,Type,New Job Title,Fringe Status,College,Graduation Date,Employer New,Major
NYC DoITT,,1-Jul-15,9-Jul-15,0,0 to 6 months,Brooklyn,New York,11204,Other,Client Service/Tech Support,Helpdesk Technician,,New York City College of Technology,1-May-17,,Computer Engineering Technology
NYC DoITT,,22-Aug-16,2-Sep-16,0,0 to 6 months,Bronx,New York,10463,Resigned,Administrative,Communications Intern,,Brooklyn College,1-Dec-16,,"Film, Communications"
NYC DoITT,Fellowships (59000-00),10-Jul-17,25-Aug-17,1,0 to 6 months,Flushing,New York,11355,Other Employment Opportunity,Client Service/Tech Support,Application Development,Full-Time,City College,1-May-17,,Computer Science
NYC DoITT,DoITT - Service Management (59900-20),16-Sep-19,23-Oct-19,1,0 to 6 months,Brooklyn,New York,11236,Personal/Family Reason,Client Service/Tech Support,DoITT CityWide Services Desk Agent,PT-A,Kingsborough Community College,1-May-21,,Liberal Studies
NYC DoITT,,18-Apr-16,30-Jun-16,2,0 to 6 months,Bronx,New York,10451,Other,Geographic Information Systems (GIS),Geographic Information Systems Intern,,Lehman College,1-Dec-16,,Geography
NYC DoITT,,2-Sep-14,23-Dec-14,3,0 to 6 months,New York,New York,1109,No Longer Eligible,Client Service/Tech Support,Service Desk  Agent,,Hunter College,1-May-17,,Computer Science
NYC DoITT,,23-Mar-15,17-Jul-15,3,0 to 6 months,brooklyn,New York,11230,Other Employment Opportunity,Database Admin,Student Intern,,Baruch College,1-May-15,,Computer Information Systems/Science
NYC DoITT,,26-Oct-15,15-Feb-16,3,0 to 6 months,Hempstead,New York,11550,No Longer Eligible,Administrative,Policy & Strategic Planning Intern,,Macaulay Honors College,1-May-18,,Architecture/Landscape Arch/Urban Planning
NYC DoITT,,26-Oct-15,15-Feb-16,3,0 to 6 months,Hempstead,New York,11550,No Longer Eligible,Client Service/Tech Support,Policy and Strategic Planning Intern,,Macaulay Honors College,1-May-18,,Architecture/Landscape Arch/Urban Planning
NYC DoITT,DoITT Proc - Fin Analytics (59900-02),2-Sep-19,21-Jan-20,4,0 to 6 months,,,,Hired by Current Agency,Data/Digital Services,Data Analyst Intern,PT-B,Brooklyn College,10-Dec-19,,"Finance, Management"
NYC DoITT,,9-Feb-16,2-Aug-16,5,0 to 6 months,Hollis,New York,11423,End of Appointment,Client Service/Tech Support,CityWide Service Desk Intern,,Baruch College,1-May-19,,Finance
NYC DoITT,DoITT Proc - Fin Analytics (59900-02),4-Mar-19,16-Aug-19,5,0 to 6 months,Brooklyn,New York,11219,End of Appointment,Finance/Procurement,Finance Analyst,PT-A,Baruch College,1-May-20,,Computer Information Systems/Science
NYC DoITT,DoITT - Service Management (59900-20),9-Sep-19,26-Feb-20,5,0 to 6 months,New York City,New York,10453,Other Employment Opportunity,Client Service/Tech Support,DoITT CityWide Services Desk Agent,PT-A,Bronx Community College,1-Aug-22,,Computer Information Systems/Science
NYC DoITT,DoITT - Enterprise Mobile (59900-10),18-Nov-19,10-May-20,5,0 to 6 months,flushing,New York,11367,Working,Client Service/Tech Support,Enterprise Tech Support,PT-A,New York City College of Technology,1-May-20,,Computer Systems Technology
NYC DoITT,,1-Jul-15,29-Jan-16,6,0 to 6 months,Bronx,New York,10456,Other Employment Opportunity,Client Service/Tech Support,CityWide Service Desk Agent Intern,,New York City College of Technology,1-Dec-15,,Computer Systems Technology
NYC DoITT,,14-Sep-15,8-Apr-16,6,0 to 6 months,Bronx,New York,10469,Hired by Current Agency,Client Service/Tech Support,Technical Architecture Intern,,New York City College of Technology,1-Dec-15,,Computer Systems Technology
NYC DoITT,,18-Apr-16,15-Nov-16,6,0 to 6 months,New York,,10023,End of Appointment,Geographic Information Systems (GIS),Geographic Information Systems Intern,,Hunter College,1-May-16,,Geography
NYC DoITT,Fellowships (59000-00),10-Jul-17,25-Jan-18,6,0 to 6 months,,,,Other Employment Opportunity,Application Development,Front End Development,Full-Time,Baruch College,1-May-19,,Finance
NYC DoITT,DoITT MIS311 (59900-01),16-Oct-19,10-May-20,6,0 to 6 months,Bronx,New York,10458,Working,Client Service/Tech Support,Desktop Support Intern,PT-B Flex,City College,1-May-21,,Computer Engineering
NYC DoITT,DoITT Proc - Fin Analytics (59900-02),4-Nov-19,10-May-20,6,0 to 6 months,Brooklyn,New York,11235,Working,Administrative,Administrative Associate Intern,PT-A,City College,1-Dec-19,,Psychology
NYC DoITT,Fellowships (59000-00),15-Jul-19,10-Mar-20,7,6 to 12 months,,,,Other Employment Opportunity,Geographic Information Systems (GIS),IT Info Security,Full-Time,New York City College of Technology,1-May-18,,Computer Systems Technology
NYC DoITT,,18-Jan-16,8-Oct-16,8,6 to 12 months,Flushing,New York,11355,End of Appointment,Client Service/Tech Support,CityWide Service Desk Intern,,John Jay College of Criminal Justice,1-Dec-16,,Computer Science
NYC DoITT,DoITT - Enterprise Mobile (59900-10),3-Sep-19,10-May-20,8,6 to 12 months,Brooklyn,New York,11206,Working,Client Service/Tech Support,Enterprise Mobile Intern,PT-B,CUNY Graduate Center,1-May-20,,Computer Science
NYC DoITT,,11-Aug-14,27-May-15,9,6 to 12 months,Staten island,New York,10301,Other,Client Service/Tech Support,Desktop Support Intern,,Borough of Manhattan Community College,1-May-15,,Computer Science
NYC DoITT,,2-Nov-15,12-Aug-16,9,6 to 12 months,Elmhurst,New York,11373,End of Appointment,Client Service/Tech Support,FMA Reporting Tools Development Intern,,City College,1-Dec-17,,Economics
NYC DoITT,,13-Mar-17,29-Dec-17,9,6 to 12 months,,,,Other,Systems Analysis and Design,Program Analyst Intern,,Borough of Manhattan Community College,1-May-17,,Computer Science
NYC DoITT,Fellowships (59000-00),15-Jul-19,10-May-20,9,6 to 12 months,south ozone park,New York,11420,Working,Geographic Information Systems (GIS),IT Info Security,Full-Time,New York City College of Technology,1-May-19,,"Computer Information Systems/Science, Computer Science, Computer Systems Technology"
NYC DoITT,Fellowships (59000-00),15-Jul-19,10-May-20,9,6 to 12 months,Valley Stream,New York,11580-1125,Working,Network Administration,Network Engineering,Full-Time,New York City College of Technology,1-Dec-19,,Computer Systems Technology
NYC DoITT,Fellowships (59000-00),15-Jul-19,10-May-20,9,6 to 12 months,Queens,New York,11421,Working,Application Development,CSM Developer,Full-Time,Guttman Community College,1-Aug-18,,"Computer Information Systems/Science, Computer Systems Technology"
NYC DoITT,Fellowships (59000-00),15-Jul-19,10-May-20,9,6 to 12 months,Queens,New York,11435,Working,Policy/Program Analysis,Change Control Fellow,Full-Time,Borough of Manhattan Community College,1-Aug-18,,Computer Information Systems/Science
NYC DoITT,Fellowships (59000-00),10-Jul-17,11-May-18,10,6 to 12 months,Queens,,,Other Employment Opportunity,Database Admin,Data Integration and Analytics,Full-Time,Baruch College,1-May-17,,"Computer Engineering Technology, Computer Information Systems/Science"
NYC DoITT,Fellowships (59000-00),1-Aug-17,1-Jun-18,10,6 to 12 months,Jamaica,New York,11432,Other Employment Opportunity,Geographic Information Systems (GIS),GIS Development,Full-Time,Queens College,1-Aug-17,,Computer Science
NYC DoITT,DoITT - Service Management (59900-20),1-Oct-18,7-Aug-19,10,6 to 12 months,,,,Resigned,Client Service/Tech Support,DOITT CityWide Services Desk Agent,PT-B Flex,New York City College of Technology,1-Dec-21,,Computer Engineering Technology
NYC DoITT,Fellowships (59000-00),23-Jul-18,28-Jun-19,11,6 to 12 months,Brooklyn,New York,11226,Other Employment Opportunity,Business Analysis,Strategic Planning,Full-Time,City College,1-May-18,,"English Language/Lit, Management, Communications"
NYC DoITT,Fellowships (59000-00),10-Jul-17,13-Aug-18,13,1 to 2 years,Brooklyn,New York,11219,Hired by Current Agency,Systems Analysis and Design,IT Architecture,Full-Time,Brooklyn College,1-May-16,,Computer Information Systems/Science
NYC DoITT,DoITT - Service Management (59900-20),10-Jul-17,27-Aug-18,13,1 to 2 years,New York City,New York,10453,Other,Client Service/Tech Support,DoITT CityWide Services Desk Agent,PT-B Flex,Bronx Community College,1-Aug-22,,Computer Information Systems/Science
NYC DoITT,DoITT - Emerging Technologies (59900-09),2-Jul-18,23-Aug-19,13,1 to 2 years,,,,End of Appointment,Client Service/Tech Support,Emerging Tech Intern,PT-A Flex,LaGuardia Community College,20-May-17,,Computer Science
NYC DoITT,DoITT - Enterprise Mobile (59900-10),2-Jul-18,25-Aug-19,13,1 to 2 years,Brooklyn,New York,11226,Resigned,Client Service/Tech Support,Enterprise Mobile Intern,PT-A Flex,New York City College of Technology,1-May-19,,Computer Systems Technology
NYC DoITT,DoITT - Service Management (59900-20),19-Mar-19,10-May-20,13,1 to 2 years,Brooklyn,New York,11218,Working,Client Service/Tech Support,DoITT CityWide Services Desk Agent,PT-B,New York City College of Technology,1-Dec-20,,"Computer Engineering Technology, Computer Science, Computer Systems Technology"
NYC DoITT,,7-Oct-13,18-Dec-14,14,1 to 2 years,,,,No Longer Eligible,Client Service/Tech Support,Contract Administration Intern,,York College,1-Dec-13,,Computer Science
NYC DoITT,Fellowships (59000-00),9-Jul-18,4-Oct-19,14,1 to 2 years,STATEN ISLAND,New York,10310,Hired by Current Agency,Network Administration,Information Security,Full-Time,New York City College of Technology,1-May-18,,Computer Systems Technology
